AGNT_EMP_NO,HIRE_DT,PARTNER,SITE_DESC,LOCATION,NO_DAYS_AFTER_HIRE,FLAG_ATTRITION,PASS_FAIL,Month1Diff,Month2Diff,Month3Diff,Month4Diff,Month5Diff,Month6Diff,Month7Diff,Month8Diff,Month9Diff,Month10Diff,Month11Diff,Month12Diff,LockDiff,RESULTS,LOB,PF_SEGMENT_QUARTILE1,PF_SEGMENT_QUARTILE2,PF_SEGMENT_QUARTILE3,PF_SEGMENT_QUARTILE4,PF_SEGMENT_QUARTILE5,PF_SEGMENT_QUARTILE6,PF_SEGMENT_QUARTILE7,PF_SEGMENT_QUARTILE8,PF_SEGMENT_QUARTILE9,PF_SEGMENT_QUARTILE10,PF_SEGMENT_QUARTILE11,PF_SEGMENT_QUARTILE12,ABT_AHT1,ABT_AHT2,ABT_AHT3,ABT_AHT4,ABT_AHT5,ABT_AHT6,ABT_AHT7,ABT_AHT8,ABT_AHT9,ABT_AHT10,ABT_AHT11,ABT_AHT12,FCR71,FCR72,FCR73,FCR74,FCR75,FCR76,FCR77,FCR78,FCR79,FCR710,FCR711,FCR712,SR_60D1,SR_60D2,SR_60D3,SR_60D4,SR_60D5,SR_60D6,SR_60D7,SR_60D8,SR_60D9,SR_60D10,SR_60D11,SR_60D12,AGNT_SEGMENT_NM_Month_1,AGNT_SEGMENT_NM_Month_2,AGNT_SEGMENT_NM_Month_3,AGNT_SEGMENT_NM_Month_4,AGNT_SEGMENT_NM_Month_5,AGNT_SEGMENT_NM_Month_6,AGNT_SEGMENT_NM_Month_7,AGNT_SEGMENT_NM_Month_8,AGNT_SEGMENT_NM_Month_9,AGNT_SEGMENT_NM_Month_10,AGNT_SEGMENT_NM_Month_11,AGNT_SEGMENT_NM_Month_12,AGNT_SEGMENT_NM_Month_13,DEPT_NM_Month_1,DEPT_NM_Month_2,DEPT_NM_Month_3,DEPT_NM_Month_4,DEPT_NM_Month_5,DEPT_NM_Month_6,DEPT_NM_Month_7,DEPT_NM_Month_8,DEPT_NM_Month_9,DEPT_NM_Month_10,DEPT_NM_Month_11,DEPT_NM_Month_12,DEPT_NM_Month_13
6089365,05-Jun-17,,5099CREEK,ONSHORE,0,0,PASS,-125,-97,-66,-36,-5,25,56,87,117,148,178,209,-35,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,,,,,,,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution
6089742,01-Feb-17,Bell Canada,Virgin - King,ONSHORE,0,0,FAIL,-1,27,58,88,119,149,180,211,241,272,302,333,89,NOT RECOMMENDED,BM,,,,2,2,2,1,1,1,1,2,1,,,,448.342168,427.532894,288.041899,308.331262,375.756892,262.672897,294.559845,276.211072,319.748858,,,,0.667561,0.687818,0.6633,0.67347,0.639881,0.68662,0.710408,0.628353,0.671498,,,,,0.971777,0.973136,0.959107,0.968306,0.971805,0.963254,0.952971,0.940087,,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,Virgin Postpaid,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
6089756,13-Feb-17,,200BOUDVL,ONSHORE,0,0,PASS,-13,15,46,76,107,137,168,199,229,260,290,321,77,STRONGLY RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,,,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
6090134,10-Apr-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,21,RECOMMENDED WITH RESERVATION,BRS,,,,,4,3,4,4,3,3,4,1,,,,,,,,,,,,,,,,,0.511364,0.496988,0.467392,0.49626,0.505644,0.507813,0.494445,0.549223,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090135,10-Apr-17,Bell Canada,Borough,ONSHORE,0,0,FAIL,-69,-41,-10,20,51,81,112,143,173,204,234,265,21,NOT RECOMMENDED,BRS,,,,,4,3,3,2,2,3,4,4,,,,,,,,,,,,,,,,,0.601991,0.603449,0.590748,0.643534,0.594891,0.591241,0.586047,0.549181,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090136,10-Apr-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,21,RECOMMENDED,BRS,,,,,3,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,0.5,0.591241,0.531562,0.687204,0.707254,0.687243,0.704919,0.73064,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090137,10-Apr-17,Bell Canada,Borough,ONSHORE,144,1,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,21,RECOMMENDED WITH RESERVATION,BRS,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,0.447273,0.474748,0.434174,0.463612,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,
6090139,10-Apr-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,21,STRONGLY RECOMMENDED,BRS,,,,,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,0.592106,0.5,0.526502,0.525478,0.462784,0.446565,0.533058,0.469388,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090247,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,RECOMMENDED WITH RESERVATION,BRS,,,,,3,4,4,,,,,,,,,,784.539682,1141.933333,1665.5,,,,,,,,,,0.645162,0.633334,0.5,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
6090248,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,FAIL,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,NOT RECOMMENDED,BRS,,,,,3,1,2,,,,,,,,,,935.368421,804.6875,854.733333,,,,,,,,,,0.540541,0.78125,0.642858,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
