6089365,05-Jun-17,,5099CREEK,ONSHORE,0,0,PASS,-125,-97,-66,-36,-5,25,56,87,117,148,178,209,240,268,299,-35,RECOMMENDED WITH RESERVATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,,,,,,,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution,Hardware Solution
6089756,13-Feb-17,,200BOUDVL,ONSHORE,0,0,PASS,-13,15,46,76,107,137,168,199,229,260,290,321,352,380,411,77,STRONGLY RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Mobility Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,Virgin Consumer Direct Sales,,,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
6090134,10-Apr-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,296,324,355,21,RECOMMENDED WITH RESERVATIONS,BRS,,,,,4,3,4,4,3,3,4,1,2,4,2,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,0.511364,0.496988,0.467392,0.49626,0.505644,0.507813,0.494445,0.549223,0.714286,0.778555,0.737981,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090135,10-Apr-17,Bell Canada,BOROUGH,ONSHORE,0,0,FAIL,-69,-41,-10,20,51,81,112,143,173,204,234,265,296,324,355,21,NOT RECOMMENDED,BRS,,,,,4,3,3,2,2,3,4,4,4,1,1,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,0.601991,0.603449,0.590748,0.643534,0.594891,0.591241,0.586047,0.549181,0.584363,0.70751,0.708792,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090136,10-Apr-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,296,324,355,21,RECOMMENDED,BRS,,,,,3,1,2,2,1,1,1,1,1,2,2,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,0.5,0.591241,0.531562,0.687204,0.707254,0.687243,0.704919,0.73064,0.661459,0.7,0.730667,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090137,10-Apr-17,Bell Canada,BOROUGH,ONSHORE,144,1,FAIL,-69,-41,-10,20,51,81,112,143,173,204,234,265,296,324,355,21,NOT RECOMMENDED,BRS,,,,,4,4,4,4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,0.447273,0.474748,0.434174,0.463612,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,,,
6090139,10-Apr-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-69,-41,-10,20,51,81,112,143,173,204,234,265,296,324,355,21,STRONGLY RECOMMENDED,BRS,,,,,4,4,4,4,4,4,4,4,4,3,4,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,0.592106,0.5,0.526502,0.525478,0.462784,0.446565,0.533058,0.469388,0.569231,0.608491,0.62963,,,,,.,.,.,.,.,.,.,.,.,.,.,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090247,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED WITH RESERVATIONS,BRS,,,,,3,4,4,,,,,,,,,,,,,784.539682,1141.933333,1665.5,,,,,,,,,,,,,0.645162,0.633334,0.5,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090248,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,FAIL,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,NOT RECOMMENDED,BRS,,,,,3,1,2,,,,,,,,,,,,,935.368421,804.6875,854.733333,,,,,,,,,,,,,0.540541,0.78125,0.642858,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090252,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED WITH RESERVATIONS,BRS,,,,,4,4,1,,,,,,,,,,,,,1058.753086,1327.964285,1120.5,,,,,,,,,,,,,0.493671,0.370371,0.7,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090256,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED,BRS,,,,,4,4,2,,,,,,,,,,,,,953.131578,582.270833,449.045454,,,,,,,,,,,,,0.493151,0.531915,0.5,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
